1379,LLFGYPVYV,swapped_341,5,0.19051902,0.0
1498,NLVPMVATV,swapped_60,5,0.0031915214,0.0
1846,NLVPMVATV,10x,5,0.30806395,0.0
3622,GILGFVFTL,10x,5,0.015579837,0.0
6222,GILGFVFTL,10x,5,0.0009798789,0.0
704,GLCTLVAML,10x,5,0.44487756,0.0
2122,GILGFVFTL,10x,5,0.0004987916,0.0
5816,NLVPMVATV,positive,5,0.03996736,1.0
1739,GLCTLVAML,positive,5,0.99998033,1.0
1311,NLVPMVATV,swapped_119,5,0.00026256655,0.0
812,GILGFVFTL,10x,5,0.058319766,0.0
709,GILGFVFTL,10x,5,0.98923814,0.0
5737,GLCTLVAML,positive,5,0.99925643,1.0
3440,GILGFVFTL,10x,5,0.104228705,0.0
6692,NLVPMVATV,swapped_5903,5,0.00011565347,0.0
4268,GLCTLVAML,positive,5,0.9806256,1.0
4731,GLCTLVAML,10x,5,0.22595426,0.0
5211,GILGFVFTL,10x,5,0.04202351,0.0
3444,GILGFVFTL,10x,5,0.032308668,0.0
4024,GLCTLVAML,swapped_2955,5,0.23282129,0.0
1686,FLYALALLL,positive,5,0.078536086,1.0
2467,GLCTLVAML,swapped_1742,5,2.2996133e-05,0.0
3560,GILGFVFTL,10x,5,0.31346187,0.0
2831,GILGFVFTL,positive,5,7.408969e-06,1.0
1867,GILGFVFTL,10x,5,0.5951236,0.0
3486,GILGFVFTL,10x,5,0.42566884,0.0
2296,GLCTLVAML,10x,5,0.36293566,0.0
514,GILGFVFTL,10x,5,0.3083558,0.0
2199,GLCTLVAML,10x,5,0.0002614083,0.0
676,GILGFVFTL,10x,5,0.006416294,0.0
3186,NLVPMVATV,10x,5,0.009033964,0.0
193,GILGFVFTL,positive,5,0.14588,1.0
3743,GILGFVFTL,10x,5,0.003830629,0.0
4644,GILGFVFTL,10x,5,0.09856861,0.0
6609,GILGFVFTL,10x,5,0.00023177481,0.0
1429,MLDLQPETT,swapped_45,5,6.0934195e-05,0.0
379,GILGFVFTL,positive,5,0.009596917,1.0
4228,GILGFVFTL,positive,5,0.028451476,1.0
2730,KTWGQYWQV,positive,5,0.9920632,1.0
5401,NLVPMVATV,swapped_4413,5,2.8265571e-05,0.0
2045,GILGFVFTL,10x,5,0.007880684,0.0
5594,GILGFVFTL,swapped_4223,5,0.009505927,0.0
6854,GLCTLVAML,swapped_5935,5,0.18173888,0.0
4891,GILGFVFTL,10x,5,0.0016494509,0.0
3333,FLYALALLL,10x,5,0.017721243,0.0
5306,GILGFVFTL,10x,5,0.07984246,0.0
5629,GLCTLVAML,swapped_4536,5,0.22935548,0.0
3626,RMFPNAPYL,10x,5,0.00085775356,0.0
4951,KTWGQYWQV,10x,5,0.3741957,0.0
4090,GLCTLVAML,swapped_3019,5,5.0983217e-06,0.0
1283,GLCTLVAML,swapped_145,5,9.313453e-07,0.0
4063,NLVPMVATV,swapped_2901,5,0.010727317,0.0
5109,NLVPMVATV,10x,5,0.00736955,0.0
1020,GILGFVFTL,10x,5,0.45101535,0.0
4365,GILGFVFTL,positive,5,0.06927956,1.0
6455,GILGFVFTL,10x,5,0.36327022,0.0
4646,GILGFVFTL,10x,5,0.042872403,0.0
60,GILGFVFTL,positive,5,0.0031964476,1.0
551,GILGFVFTL,10x,5,0.0005135946,0.0
1428,GLCTLVAML,swapped_331,5,0.008315629,0.0
5650,NLVPMVATV,swapped_4499,5,0.0012685317,0.0
460,GLCTLVAML,10x,5,0.020212725,0.0
6083,GILGFVFTL,10x,5,0.97038615,0.0
5876,GLCTLVAML,positive,5,0.958609,1.0
5707,GILGFVFTL,positive,5,0.00019487595,1.0
4722,GILGFVFTL,10x,5,0.005387743,0.0
5664,GLCTLVAML,swapped_4546,5,2.7956128e-05,0.0
3419,GILGFVFTL,10x,5,0.00086247746,0.0
5026,GILGFVFTL,10x,5,0.636099,0.0
